学校id,学校名称,学校层次,学校类型,所处地区,招生办电话,招生办官网
30,北京工业大学,211,理工类,北京朝阳区,010-67391609,http://admissions.bjut.edu.cn/
31,北京大学,985 211,综合类,北京海淀区,"010-62751407,010-62554332",http://www.gotopku.cn
32,内蒙古大学,211,综合类,内蒙古赛罕区,"0471-4993105,0471-4993164",http://zhaosheng.imu.edu.cn/
33,大连海事大学,211,理工类,辽宁甘井子区,"0411-84727233,0411-84724303",http://bkzs.dlmu.edu.cn
34,哈尔滨工业大学,985 211,理工类,黑龙江南岗区,"0451-86414671,0451-86414771",https://zsb.hit.edu.cn/
35,云南大学,211,综合类,云南呈贡区,"0871-65033819,0871-65032173,0871-65939873",http://zsb.ynu.edu.cn/
36,长安大学,211,理工类,陕西,"029-82334104,029-82334813",http://zsb.chd.edu.cn
37,西北大学,211,综合类,陕西碑林区,029-88302211,http://zsb.nwu.edu.cn/
38,北京交通大学,211,理工类,北京海淀区,010-51688441,https://zsw.bjtu.edu.cn
39,北京外国语大学,211,语言类,北京海淀区,"010-88816254,010-88816481",http://joinus.bfsu.edu.cn
40,中央音乐学院,211,艺术类,北京西城区,010-66410968,http://zhaoban.ccom.edu.cn/login;JSESSIONID=54901193046a4433b0ff48dffa685a63
41,河北工业大学,211,理工类,天津北辰区,"022-60438029,022-60438259",https://zs.hebut.edu.cn/
42,武汉大学,985 211,综合类,湖北武昌区,027-68754231,http://aoff.whu.edu.cn/
43,北京林业大学,211,农林类,北京海淀区,"010-62338216,010-62338222",http://zsb.bjfu.edu.cn/f
44,湖南大学,985 211,综合类,湖南岳麓区,"0731-88823560,0731-88823067,0731-88823578,0731-88823565",http://admi.hnu.edu.cn
45,中央民族大学,985 211,民族类,北京海淀区,"010-68932902,010-68933922",http://zb.muc.edu.cn
46,中国人民大学,985 211,综合类,北京海淀区,400-012-3517,http://rdzs.ruc.edu.cn/cms/
47,北京航空航天大学,985 211,理工类,北京海淀区,"010-82317695,010-82338793,010-82338240",http://zsjyc.buaa.edu.cn
48,北京邮电大学,211,理工类,北京海淀区,"010-62282045,010-62283407",https://zsb.bupt.edu.cn/#1307
49,北京中医药大学,211,医药类,北京朝阳区,010-64286231,http://bkzs.bucm.edu.cn
50,辽宁大学,211,综合类,辽宁皇姑区,024-62202299,http://zs.lnu.edu.cn/
51,西南交通大学,211,理工类,四川郫都区,"028-66366373,028-66366379,028-66368074",https://zhaosheng.swjtu.edu.cn/
52,北京师范大学,985 211,师范类,北京海淀区,010-58807962,https://admission.bnu.edu.cn/
53,对外经济贸易大学,211,财经类,北京朝阳区,010-64492178,http://zhaosheng.uibe.edu.cn
54,河北大学,普通本科,综合类,河北,0312-5079698,http://zhaoban.hbu.cn
55,河北科技大学,普通本科,理工类,河北,"0311-81668135,0311-81668192",https://bkzs.hebust.edu.cn/
56,河北经贸大学,普通本科,财经类,河北,0311-87655611,http://zhaosheng.heuet.edu.cn
57,西安电子科技大学,211,理工类,陕西雁塔区,"029-88202335,029-88204236",http://zsb.xidian.edu.cn
58,湖南师范大学,211,师范类,湖南,0731-8872222,http://zsb.hunnu.edu.cn
59,南开大学,985 211,综合类,天津南开区,022-23504845,http://zsb.nankai.edu.cn
60,天津大学,985 211,理工类,天津南开区,"022-60316985,022-2405486",http://zs.tju.edu.cn/
61,中国海洋大学,985 211,综合类,山东崂山区,"0532-66782426,0532-66782478,0532-66781723",http://bkzs.ouc.edu.cn
62,郑州大学,211,综合类,河南郑州高新技术产业开发区,"0371-67781111,0371-67731111,0371-67783333",http://ao.zzu.edu.cn
63,合肥工业大学,211,理工类,安徽庐阳区,"0551-62902397,0551-62902327",http://bkzs.hfut.edu.cn
64,滨州医学院,普通本科,医药类,山东莱山区,"0535-6913058,0543-3257001",http://zb.bzmc.edu.cn/
65,德州学院,普通本科,综合类,山东,"0534-2603002,0534-8987899",http://zsjy.dzu.edu.cn/
66,中国科学技术大学,985 211,理工类,安徽包河区,"0551-63602553,0551-63602563",http://zsb.ustc.edu.cn
67,安徽大学,211,综合类,安徽,"0551-63861666,0551-63861777",http://zsb.ahu.edu.cn
68,安徽理工大学,普通本科,理工类,安徽,"0554-6668487,0554-6632810",http://zs.aust.edu.cn
69,安徽工业大学,普通本科,理工类,安徽,"0555-2315270,0555-2315272,0555-2315351",http://zs.ahut.edu.cn
70,安徽农业大学,普通本科,农林类,安徽,"0551-65786603,0551-65786135",http://zsb.ahau.edu.cn/
71,济南大学,普通本科,综合类,山东,"0531-82765900,0531-82765901",http://admission.ujn.edu.cn/
72,安徽医科大学,普通本科,医药类,安徽,0551-65167746,http://zs.ahmu.edu.cn/
73,同济大学,985 211,综合类,上海杨浦区,"021-65982643,021-65981513",https://bkzs.tongji.edu.cn/index.php?classid=3375
74,新疆大学,211,综合类,新疆天山区,"0991-8585671,0991-8585300,0991-8586161",http://welcome.xju.edu.cn/web
75,上海交通大学医学院,普通本科,医药类,上海黄浦区,021-63846590-776118,https://www.shsmu.edu.cn/ygzs/
76,上海大学,211,综合类,上海宝山区,021-66134148,http://bkzsw.shu.edu.cn
77,南京航空航天大学,211,理工类,江苏秦淮区,025-84892899,http://zs.nuaa.edu.cn
78,天津医科大学,211,医药类,天津和平区,022-83336711,http://www.tmu.edu.cn/bkzs/
79,天津师范大学,普通本科,师范类,天津西青区,"022-23541338,022-23767181",http://zsb.tjnu.edu.cn/
80,天津工业大学,普通本科,理工类,天津西青区,022-83955227,http://zsb.tjpu.edu.cn/
81,天津理工大学,普通本科,理工类,天津西青区,022-60216795,http://zsb.tjut.edu.cn/
82,天津科技大学,普通本科,理工类,天津河西区,"022-60600336,022-28113336",http://zsb.tust.edu.cn/
